learn:mm.csv check:xkd.csv 	 Result: 	0.28625456813134137 	5229 	1906
  	class: 命名  	d: 5  	pt: 2.0  	diff:  取名A1.0 命名B0.5 为名B0.5
  	class: 签到  	d: 4  	pt: 2.0  	diff:  登录A1.0 签到B1.0
  	class: 就职  	d: 10  	pt: 2.0  	diff:  下车A1.0 上任B0.16666666666666666 就任B0.12121212121212122 到任B0.045454545454545456 新任B0.6363636363636364 就职B0.030303030303030304
  	class: 捏造  	d: 9  	pt: 2.0  	diff:  编A1.0 虚构B0.8333333333333334 编造B0.16666666666666666
  	class: 租用  	d: 7  	pt: 2.0  	diff:  租下A1.0 租用B0.25 租赁B0.75
  	class: 挤出  	d: 3  	pt: 2.0  	diff:  抽出A0.3333333333333333 挤出A0.6666666666666666 腾出B1.0
  	class: 谱曲  	d: 3  	pt: 2.0  	diff:  作曲A1.0 谱写B1.0
  	class: 诊断  	d: 2  	pt: 2.0  	diff:  确诊A1.0 诊断B1.0
  	class: 救治  	d: 4  	pt: 2.0  	diff:  急救A1.0 救护B1.0
  	class: 面谈  	d: 3  	pt: 2.0  	diff:  面议A1.0 面谈B1.0
  	class: 恳谈  	d: 7  	pt: 2.0  	diff:  恳谈A1.0 谈心B1.0
  	class: 面交  	d: 6  	pt: 2.0  	diff:  递给A1.0 递交B1.0
  	class: 出借  	d: 5  	pt: 2.0  	diff:  借给A1.0 放贷B0.8 贷出B0.2
  	class: 谦让  	d: 6  	pt: 2.0  	diff:  谦让A0.25 忍让A0.75 让给B1.0
  	class: 补救  	d: 2  	pt: 2.0  	diff:  补救A1.0 挽救B1.0
  	class: 生事  	d: 32  	pt: 2.0  	diff:  作恶A1.0 惹事B0.3333333333333333 扰民B0.16666666666666666 闹事B0.16666666666666666 滋事B0.16666666666666666 肇事B0.16666666666666666
  	class: 勾结  	d: 12  	pt: 2.0  	diff:  勾搭A1.0 勾结B0.5 勾连B0.5
  	class: 断交  	d: 3  	pt: 2.0  	diff:  绝交A1.0 断交B1.0
  	class: 流浪  	d: 15  	pt: 2.0  	diff:  流浪A1.0 流转B1.0
  	class: 混进  	d: 3  	pt: 2.0  	diff:  混迹A1.0 混进B1.0
  	class: 搜查  	d: 4  	pt: 2.0  	diff:  搜A1.0 查抄B1.0
  	class: 晒  	d: 5  	pt: 2.0  	diff:  晾A0.16666666666666666 晒A0.8333333333333334 曝B1.0
  	class: 开市  	d: 6  	pt: 2.0  	diff:  开饭A1.0 开市B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  找上门A1.0 挑衅B1.0
  	class: 入狱  	d: 9  	pt: 2.0  	diff:  坐牢A1.0 入狱B1.0
  	class: 杀害  	d: 7  	pt: 2.0  	diff:  凶杀A1.0 杀害B0.625 行凶B0.375
  	class: 出血  	d: 7  	pt: 2.0  	diff:  出血A1.0 流血B1.0
  	class: 开花  	d: 12  	pt: 2.0  	diff:  盛开A1.0 开放B0.9886363636363636 绽放B0.011363636363636364
  	class: 争先  	d: 6  	pt: 2.0  	diff:  争相A1.0 先声夺人B0.5 抢先B0.5
  	class: 腾空  	d: 7  	pt: 2.0  	diff:  飙升A1.0 抬高B0.5 攀升B0.5
  	class: 沾光  	d: 4  	pt: 2.0  	diff:  讨巧A1.0 受益B1.0
  	class: 遇救  	d: 3  	pt: 2.0  	diff:  得救A1.0 获救B1.0
  	class: 减半  	d: 3  	pt: 2.0  	diff:  减半A1.0 扣除B1.0
  	class: 显见  	d: 5  	pt: 2.0  	diff:  看得出A1.0 足见B1.0
  	class: 好似  	d: 10  	pt: 2.0  	diff:  宛如A1.0 犹如B1.0
  	class: 秉承  	d: 4  	pt: 2.0  	diff:  秉承A1.0 采纳B1.0
  	class: 协商  	d: 25  	pt: 1.9999999999999998  	diff:  情商A1.0 协议B0.3698630136986301 商B0.0273972602739726 协商B0.2328767123287671 商议B0.0136986301369863 说道B0.1506849315068493 共商B0.0273972602739726 谋B0.0684931506849315 商谈B0.0410958904109589 共谋B0.0136986301369863 商榷B0.0136986301369863 商量B0.0410958904109589
  	class: 第一  	d: 18  	pt: 1.9999999999999998  	diff:  处女A1.0 头条B0.6363636363636364 首度B0.09090909090909091 头版B0.2727272727272727
  	class: 后人  	d: 12  	pt: 1.9999999999999998  	diff:  继承人A1.0 接班人B0.6666666666666666 继任者B0.3333333333333333
  	class: 天资  	d: 5  	pt: 1.9999999999999998  	diff:  天才A1.0 禀赋B0.6666666666666666 资质B0.3333333333333333
  	class: 无能  	d: 13  	pt: 1.9999999999999998  	diff:  平庸A0.8 弱智A0.2 无能B0.6666666666666666 经营不善B0.3333333333333333
  	class: 容貌  	d: 20  	pt: 1.9999999999999998  	diff:  容貌A0.5 外貌A0.5 面相B0.3333333333333333 面容B0.3333333333333333 面貌B0.3333333333333333
  	class: 力气  	d: 4  	pt: 1.9999999999999998  	diff:  力气A1.0 马力B0.3333333333333333 巧劲B0.3333333333333333 气力B0.3333333333333333
  	class: 宽度  	d: 19  	pt: 1.9999999999999998  	diff:  开间A1.0 幅度B0.15384615384615385 增长率B0.38461538461538464 增幅B0.07692307692307693 小幅B0.07692307692307693 宽度B0.07692307692307693 涨幅B0.23076923076923078
  	class: 出头  	d: 10  	pt: 1.9999999999999998  	diff:  起色A1.0 出头B0.6666666666666666 转运B0.3333333333333333
  	class: 灰心  	d: 16  	pt: 1.9999999999999998  	diff:  沮丧A0.6666666666666666 心寒A0.3333333333333333 寒心B0.3333333333333333 气馁B0.3333333333333333 灰心B0.3333333333333333
