learn:gkw.csv check:mm.csv 	 Result: 	0.24131683703322554 	6319 	2290
  	class: 填  	d: 11  	pt: 1.9230769230769231  	diff:  填写A0.19230769230769232 装填A0.07692307692307693 填充A0.5384615384615384 装满A0.11538461538461539 揣A0.038461538461538464 填AB0.9615384615384616
  	class: 迁移  	d: 8  	pt: 1.9183673469387754  	diff:  迁移A0.10204081632653061 迁徙A0.8571428571428571 搬AB0.9591836734693877
  	class: 推测  	d: 16  	pt: 1.8918918918918917  	diff:  推断A0.24324324324324326 推测A0.6216216216216216 推论A0.02702702702702703 测度A0.02702702702702703 想见A0.02702702702702703 想来AB0.9459459459459459
  	class: 肠  	d: 4  	pt: 1.8857142857142857  	diff:  肠AB0.44285714285714284 肠道A0.9428571428571428 肠子B0.5
  	class: 制止  	d: 10  	pt: 1.8805970149253732  	diff:  压A0.14925373134328357 限于A0.16417910447761194 抑制A0.6268656716417911 制止AB0.03855721393034826 扼杀AB0.06840796019900497 挫B0.8333333333333334
  	class: 完成  	d: 18  	pt: 1.875  	diff:  到位AB0.4375 完事A0.0625 成就A0.8125 落成A0.0625 交卷B0.5
  	class: 性生活  	d: 3  	pt: 1.875  	diff:  性行为A0.875 性生活AB0.9375 房事A0.0625
  	class: 就医  	d: 4  	pt: 1.875  	diff:  就医A0.625 就诊A0.3125 看病AB0.9375
  	class: 赞成  	d: 4  	pt: 1.870967741935484  	diff:  倾向A0.9354838709677419 赞同AB0.935483870967742
  	class: 地方  	d: 5  	pt: 1.8688524590163935  	diff:  地区A0.819672131147541 地带AB0.9344262295081968 地域A0.06557377049180328 地段A0.01639344262295082 域A0.03278688524590164
  	class: 装饰  	d: 5  	pt: 1.8666666666666667  	diff:  装饰A0.9333333333333333 装修AB0.9333333333333333
  	class: 命名  	d: 5  	pt: 1.8666666666666667  	diff:  命名A0.8 取名AB0.9333333333333333 为名A0.13333333333333333
  	class: 人民  	d: 19  	pt: 1.8571428571428572  	diff:  平民A0.14285714285714285 生灵A0.14285714285714285 公民A0.2857142857142857 百姓A0.2857142857142857 国民A0.07142857142857142 全民AB0.9285714285714286
  	class: 共同  	d: 31  	pt: 1.8571428571428572  	diff:  协同AB0.4285714285714286 联合A0.4642857142857143 合A0.05357142857142857 联手A0.017857142857142856 联名A0.017857142857142856 旅A0.375 合伙B0.5
  	class: 流水  	d: 5  	pt: 1.8571428571428572  	diff:  水流A0.9285714285714286 流水AB0.9285714285714286
  	class: 洗  	d: 15  	pt: 1.8518518518518519  	diff:  清洗A0.7037037037037037 漱口A0.037037037037037035 洗洗AB0.17592592592592593 洗涤A0.18518518518518517 保洁B0.625 澡B0.125
  	class: 烧火  	d: 7  	pt: 1.8461538461538463  	diff:  烧火A0.07692307692307693 生火A0.15384615384615385 燃爆AB0.9230769230769231 着火A0.6923076923076923
  	class: 想法  	d: 8  	pt: 1.8461538461538463  	diff:  心思AB0.9230769230769231 念头A0.15384615384615385 动机A0.6153846153846154 意念A0.15384615384615385
  	class: 全部  	d: 35  	pt: 1.846153846153846  	diff:  方方面面A0.6153846153846154 遍A0.3076923076923077 凡事AB0.5897435897435896 成套B0.3333333333333333
  	class: 途径  	d: 10  	pt: 1.8285714285714285  	diff:  路径A0.08571428571428572 路子AB0.9142857142857143 路线A0.5428571428571428 途径A0.22857142857142856 门道A0.05714285714285714
  	class: 烂  	d: 5  	pt: 1.8181818181818181  	diff:  面糊A0.9090909090909091 酥AB0.8321678321678322 稀烂B0.07692307692307693
  	class: 固执  	d: 22  	pt: 1.818181818181818  	diff:  固执A0.18181818181818182 顽固A0.45454545454545453 僵硬A0.18181818181818182 执着AB0.40909090909090906 执拗A0.09090909090909091 偏执B0.5
  	class: 携带  	d: 11  	pt: 1.8125  	diff:  携带A0.6875 带走A0.15625 带入A0.0625 牵AB0.4375 携AB0.46875
  	class: 嵌  	d: 4  	pt: 1.8000000000000003  	diff:  镶嵌A0.8 嵌AB0.9 镶A0.1
  	class: 混血儿  	d: 3  	pt: 1.8  	diff:  混血儿AB0.9 杂种A0.9
  	class: 桃  	d: 2  	pt: 1.8  	diff:  桃A0.9 桃子AB0.9
  	class: 不变  	d: 13  	pt: 1.8  	diff:  静止A0.9 有序AB0.9
  	class: 猛烈  	d: 19  	pt: 1.793103448275862  	diff:  激烈AB0.3448275862068965 猛A0.034482758620689655 猛烈A0.13793103448275862 剧烈A0.2413793103448276 火爆AB0.06896551724137931 热烈A0.034482758620689655 剧AB0.20689655172413796 利害A0.034482758620689655 腾腾B0.6896551724137931
  	class: 系统  	d: 2  	pt: 1.7923497267759563  	diff:  系统A0.8961748633879781 体系AB0.8961748633879781
  	class: 驾驶  	d: 3  	pt: 1.777777777777778  	diff:  驾驶A0.8888888888888888 驾驭AB0.4722222222222222 驾AB0.4166666666666667
  	class: 法令  	d: 5  	pt: 1.777777777777778  	diff:  法案A0.8888888888888888 法令AB0.7222222222222223 法治B0.16666666666666666
  	class: 船  	d: 9  	pt: 1.7777777777777777  	diff:  船A0.8888888888888888 艇AB0.8888888888888888
  	class: 结论  	d: 5  	pt: 1.7777777777777777  	diff:  结论A0.8888888888888888 定论AB0.8888888888888888
  	class: 雄壮  	d: 29  	pt: 1.7777777777777777  	diff:  宏伟A0.1111111111111111 豪迈A0.3333333333333333 澎湃A0.3333333333333333 堂堂AB0.8888888888888888 壮阔A0.1111111111111111
  	class: 出台  	d: 7  	pt: 1.7777777777777777  	diff:  出场AB0.8888888888888888 登台A0.05555555555555555 出演A0.8055555555555556 登场A0.027777777777777776
  	class: 散发  	d: 3  	pt: 1.7647058823529411  	diff:  散发A0.6470588235294118 分发AB0.8823529411764706 泛A0.23529411764705882
