learn:mm.csv check:xsx.csv 	 Result: 	0.23533789215156914 	4704 	2070
  	class: 费用  	d: 6  	pt: 1.5555555555555556  	diff:  费用AB0.7777777777777778 花销B0.7777777777777778
  	class: 依靠  	d: 32  	pt: 1.555555555555555  	diff:  负AB0.031746031746031744 指AB0.34523809523809523 赖AB0.40079365079365076 仰仗B0.2777777777777778 仗B0.1388888888888889 倚赖B0.027777777777777776 依赖B0.25 仰B0.027777777777777776 倚B0.027777777777777776 倚靠B0.027777777777777776
  	class: 臂  	d: 10  	pt: 1.5384615384615383  	diff:  手臂AB0.2692307692307692 上肢A0.5 双臂B0.15384615384615385 胳膊B0.6153846153846154
  	class: 迷惑  	d: 13  	pt: 1.538461538461538  	diff:  困惑AB0.7692307692307692 疑惑B0.38461538461538464 纳闷B0.15384615384615385 迷惑B0.15384615384615385 糊弄B0.07692307692307693
  	class: 精神病  	d: 2  	pt: 1.5  	diff:  神经病AB0.75 精神病B0.75
  	class: 坏人  	d: 16  	pt: 1.5  	diff:  坏人AB0.75 歹徒B0.75
  	class: 阻塞  	d: 25  	pt: 1.5  	diff:  打断AB0.675 隔阂AB0.07500000000000001 梗B0.5 不通B0.125 淤B0.125
  	class: 白菜  	d: 3  	pt: 1.5  	diff:  白菜AB0.75 大白菜B0.75
  	class: 确实  	d: 24  	pt: 1.5  	diff:  确凿A0.25 实A0.5 活生生AB0.75
  	class: 额  	d: 9  	pt: 1.5  	diff:  额A0.5 脑门A0.25 额头AB0.75
  	class: 盖  	d: 6  	pt: 1.5  	diff:  捂住AB0.25 瓦A0.5 捂B0.75
  	class: 时候  	d: 5  	pt: 1.5  	diff:  时光AB0.6071428571428571 时段A0.75 时分B0.14285714285714285
  	class: 地点  	d: 2  	pt: 1.5  	diff:  地址A0.75 地点AB0.75
  	class: 贫穷  	d: 24  	pt: 1.5  	diff:  艰A0.3333333333333333 贫困A0.3333333333333333 赤贫AB0.08333333333333331 贫穷B0.5 贫贱B0.25
  	class: 弄错  	d: 10  	pt: 1.5  	diff:  出错AB0.75 串B0.625 失误B0.125
  	class: 无心  	d: 9  	pt: 1.5  	diff:  无心A0.3333333333333333 下意识AB0.41666666666666663 潜意识B0.5 无意B0.25
  	class: 风景  	d: 14  	pt: 1.5  	diff:  风光A0.6666666666666666 景点AB0.08333333333333331 景色B0.125 风景B0.625
  	class: 色情  	d: 10  	pt: 1.5  	diff:  黄色AB0.25 桃色A0.5 韵B0.5 艳B0.25
  	class: 愿望  	d: 5  	pt: 1.5  	diff:  意愿A0.75 愿望AB0.6944444444444444 心愿B0.05555555555555555
  	class: 暗  	d: 12  	pt: 1.5  	diff:  暗淡A0.5 昏暗AB0.75 幽暗A0.25
  	class: 空洞  	d: 26  	pt: 1.5  	diff:  空虚AB0.75 虚幻B0.5 抽象B0.25
  	class: 衰落  	d: 23  	pt: 1.5  	diff:  没落A0.25 衰A0.25 衰退AB0.25 衰老A0.25 萎缩B0.5
  	class: 虚荣  	d: 8  	pt: 1.5  	diff:  虚荣AB0.75 好胜B0.75
  	class: 搜刮  	d: 11  	pt: 1.5  	diff:  搂AB0.75 刮B0.75
  	class: 拆  	d: 8  	pt: 1.5  	diff:  拆开AB0.75 拆迁B0.25 拆解B0.5
  	class: 嘱咐  	d: 7  	pt: 1.5  	diff:  叮嘱AB0.75 嘱咐B0.75
  	class: 实现  	d: 6  	pt: 1.5  	diff:  落实AB0.75 兑现B0.75
  	class: 抗拒  	d: 5  	pt: 1.5  	diff:  抗AB0.75 抗拒B0.5 抵制B0.25
  	class: 宣布  	d: 11  	pt: 1.5  	diff:  公布A0.25 发布AB0.75 揭晓A0.5
  	class: 控告  	d: 7  	pt: 1.5  	diff:  告状A0.3333333333333333 控AB0.08333333333333331 控诉A0.3333333333333333 告B0.25 状告B0.25 控告B0.25
  	class: 招待  	d: 3  	pt: 1.5  	diff:  招待AB0.75 接待B0.75
  	class: 个头  	d: 7  	pt: 1.4696969696969695  	diff:  身材AB0.7348484848484849 个子AB0.1515151515151515 个头B0.4166666666666667 身长B0.08333333333333333 个儿B0.08333333333333333
  	class: 谄媚  	d: 32  	pt: 1.4666666666666668  	diff:  买好AB0.23333333333333336 讨好AB0.3583333333333333 拍马屁A0.2916666666666667 取悦A0.08333333333333333 捧B0.2 谄媚B0.1 恭维B0.2
  	class: 责备  	d: 30  	pt: 1.4545454545454546  	diff:  指责AB0.33766233766233766 指指点点A0.14285714285714285 熊AB0.24675324675324672 数落B0.09090909090909091 怨B0.09090909090909091 呲B0.2727272727272727 责B0.18181818181818182 责怪B0.09090909090909091
  	class: 提倡  	d: 6  	pt: 1.435483870967742  	diff:  倡导AB0.717741935483871 发起AB0.5887096774193549 提倡B0.0967741935483871 倡议B0.03225806451612903
  	class: 遭受  	d: 20  	pt: 1.4285714285714286  	diff:  遭AB0.4523809523809524 面临AB0.2619047619047619 遭遇B0.47619047619047616 饱尝B0.047619047619047616 遭受B0.19047619047619047
