learn:gkw.csv check:xsx.csv 	 Result: 	0.23860275317622354 	7431 	2775
  	class: 设宴  	d: 6  	pt: 2.0  	diff:  宴请A1.0 请客B1.0
  	class: 游览  	d: 16  	pt: 2.0  	diff:  游历A0.3333333333333333 出境游A0.3333333333333333 遨游A0.3333333333333333 畅游B1.0
  	class: 挑衅  	d: 4  	pt: 2.0  	diff:  挑衅A1.0 找上门B1.0
  	class: 莅临  	d: 16  	pt: 2.0  	diff:  莅临A1.0 光临B0.5 降临B0.5
  	class: 下雨  	d: 7  	pt: 2.0  	diff:  降水A0.75 降雨A0.25 下雨B1.0
  	class: 光照  	d: 3  	pt: 2.0  	diff:  光照A1.0 日照B1.0
  	class: 融化  	d: 10  	pt: 2.0  	diff:  溶入A1.0 融B1.0
  	class: 沉睡  	d: 7  	pt: 2.0  	diff:  沉睡A1.0 熟睡B1.0
  	class: 渴  	d: 5  	pt: 2.0  	diff:  焦渴A1.0 渴B1.0
  	class: 垂死  	d: 5  	pt: 2.0  	diff:  濒危A0.875 垂危A0.125 临危B1.0
  	class: 收缩  	d: 4  	pt: 2.0  	diff:  收缩A1.0 缩B1.0
  	class: 入选  	d: 7  	pt: 2.0  	diff:  选中A0.4444444444444444 入选A0.5555555555555556 相中B1.0
  	class: 得宠  	d: 3  	pt: 2.0  	diff:  得宠A1.0 受宠B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A0.14285714285714285 胜负A0.7142857142857143 高下A0.14285714285714285 输赢B1.0
  	class: 售完  	d: 4  	pt: 2.0  	diff:  脱销A1.0 售完B1.0
  	class: 停滞  	d: 5  	pt: 2.0  	diff:  僵化A0.5 驻足A0.5 停滞B1.0
  	class: 一口气  	d: 5  	pt: 2.0  	diff:  一气A1.0 一股劲儿B1.0
  	class: 生疏  	d: 5  	pt: 1.9999999999999998  	diff:  外行A1.0 生疏B0.6666666666666666 生僻B0.3333333333333333
  	class: 灵巧  	d: 12  	pt: 1.9999999999999998  	diff:  灵活A0.6 灵A0.4 圆通B0.3333333333333333 灵便B0.3333333333333333 灵巧B0.3333333333333333
  	class: 利弊  	d: 4  	pt: 1.9999999999999998  	diff:  得失A1.0 优缺点B0.6666666666666666 利弊B0.3333333333333333
  	class: 摊  	d: 13  	pt: 1.9999999999999998  	diff:  摊位A0.7222222222222222 货摊A0.05555555555555555 小摊A0.05555555555555555 汪A0.16666666666666666 货柜B0.6666666666666666 摊档B0.3333333333333333
  	class: 剧变  	d: 7  	pt: 1.9753086419753085  	diff:  突变A0.9753086419753086 骤变AB0.9876543209876543 剧变A0.012345679012345678
  	class: 疾病  	d: 10  	pt: 1.9682539682539681  	diff:  疾病A0.9523809523809523 病痛AB0.24206349206349206 症A0.007936507936507936 病症A0.023809523809523808 毛病AB0.7420634920634921
  	class: 唠叨  	d: 14  	pt: 1.967741935483871  	diff:  磨牙A0.9838709677419355 念叨AB0.9838709677419355
  	class: 乱糟糟  	d: 10  	pt: 1.9375  	diff:  失调A0.96875 打乱AB0.96875
  	class: 下药  	d: 7  	pt: 1.9230769230769231  	diff:  用药A0.9615384615384616 毒AB0.7615384615384616 下药B0.2
  	class: 相同  	d: 29  	pt: 1.91304347826087  	diff:  平等A0.8695652173913043 平AB0.9565217391304348 一码事A0.021739130434782608 一色A0.021739130434782608 同义A0.021739130434782608 等效A0.021739130434782608
  	class: 种植  	d: 9  	pt: 1.875  	diff:  种植A0.9375 植AB0.9375
  	class: 剧本  	d: 5  	pt: 1.875  	diff:  脚本A0.90625 剧本A0.03125 本子AB0.9375
  	class: 倾  	d: 6  	pt: 1.866666666666667  	diff:  斜A0.13333333333333333 歪A0.7666666666666667 倾斜AB0.9333333333333333 侧A0.03333333333333333
  	class: 住房  	d: 9  	pt: 1.8666666666666667  	diff:  宅A0.7333333333333333 居室A0.2 住宅AB0.43333333333333335 宅子B0.5
  	class: 搅拌  	d: 4  	pt: 1.8666666666666667  	diff:  搅拌A0.9333333333333333 拌AB0.9333333333333333
