learn:jqzx.csv check:mm.csv 	 Result: 	0.29404860406994177 	4538 	1732
  	class: 褪色  	d: 6  	pt: 2.0  	diff:  褪色A1.0 掉色B1.0
  	class: 横死  	d: 11  	pt: 2.0  	diff:  身亡A1.0 送命B1.0
  	class: 开花  	d: 12  	pt: 2.0  	diff:  开放A1.0 盛开B1.0
  	class: 争先  	d: 6  	pt: 2.0  	diff:  抢先A0.5 先发制人A0.5 争相B1.0
  	class: 腾空  	d: 7  	pt: 2.0  	diff:  抬高A1.0 飙升B1.0
  	class: 吃苦  	d: 6  	pt: 2.0  	diff:  受罪A1.0 吃苦B1.0
  	class: 沾光  	d: 4  	pt: 2.0  	diff:  受益A1.0 讨巧B1.0
  	class: 胜败  	d: 5  	pt: 2.0  	diff:  成败A1.0 输赢B1.0
  	class: 加剧  	d: 10  	pt: 2.0  	diff:  强化A0.9738805970149254 加剧A0.007462686567164179 加深A0.018656716417910446 加重B1.0
  	class: 就是  	d: 9  	pt: 2.0  	diff:  视为A0.9411764705882353 算得A0.029411764705882353 便是A0.029411764705882353 身为B1.0
  	class: 好似  	d: 10  	pt: 2.0  	diff:  有如A0.5 犹如A0.5 宛如B1.0
  	class: 免得  	d: 5  	pt: 2.0  	diff:  免受A0.8 免于A0.2 免得B1.0
  	class: 捆  	d: 15  	pt: 1.9999999999999998  	diff:  绑A0.3333333333333333 捆绑A0.6666666666666666 包扎B0.6666666666666666 箍B0.3333333333333333
  	class: 喷  	d: 15  	pt: 1.9999999999999998  	diff:  迸发A1.0 喷B0.4 射B0.4 喷射B0.2
  	class: 全部  	d: 35  	pt: 1.9999999999999998  	diff:  遍A0.2 方方面面A0.8 凡事B0.6666666666666666 成套B0.3333333333333333
  	class: 梦幻  	d: 9  	pt: 1.9999999999999998  	diff:  梦境A1.0 梦B0.6666666666666666 梦幻B0.3333333333333333
  	class: 枯燥  	d: 16  	pt: 1.9999999999999998  	diff:  单调A0.5 枯燥A0.375 乏味A0.125 干燥B0.3333333333333333 没劲B0.3333333333333333 平淡B0.3333333333333333
  	class: 弱小  	d: 15  	pt: 1.9999999999999998  	diff:  微弱A1.0 柔弱B0.6666666666666666 弱小B0.3333333333333333
  	class: 稳重  	d: 11  	pt: 1.9999999999999998  	diff:  稳健A1.0 稳重B0.6666666666666666 沉稳B0.3333333333333333
  	class: 驾驶  	d: 3  	pt: 1.9944903581267217  	diff:  驾驭AB0.49724517906336085 驾驶A0.9972451790633609 驾B0.5
  	class: 躲藏  	d: 27  	pt: 1.9909090909090907  	diff:  隐藏A0.9818181818181818 掩蔽A0.00909090909090909 隐蔽A0.004545454545454545 隐形AB0.3287878787878788 躲B0.6666666666666666
  	class: 母  	d: 10  	pt: 1.9854014598540146  	diff:  母亲AB0.9927007299270073 妈B0.9927007299270073
  	class: 集合  	d: 28  	pt: 1.9834024896265559  	diff:  集合A0.6680497925311203 集AB0.11670124481327801 聚合A0.2157676348547718 聚拢A0.004149377593360996 聚集A0.05394190871369295 汇聚A0.004149377593360996 集聚A0.012448132780082987 成团A0.004149377593360996 聚A0.012448132780082987 集结A0.004149377593360996 汇A0.012448132780082987 凑合B0.625 会合B0.125 凑B0.125
  	class: 合并  	d: 24  	pt: 1.9737991266375543  	diff:  集成A0.7947598253275109 合并A0.1615720524017467 并入A0.008733624454148471 拼AB0.9868995633187773 一统A0.004366812227074236 联结A0.017467248908296942
  	class: 标注  	d: 4  	pt: 1.9727891156462585  	diff:  标注A0.9863945578231292 标AB0.9863945578231292
  	class: 范围  	d: 6  	pt: 1.9722222222222223  	diff:  规模A0.5833333333333334 层面A0.39814814814814814 局面AB0.15277777777777776 框框A0.004629629629629629 圈圈B0.8333333333333334
  	class: 地方  	d: 5  	pt: 1.9626168224299063  	diff:  地区A0.2616822429906542 域A0.6728971962616822 地带AB0.9813084112149533 地域A0.04672897196261682
  	class: 退步  	d: 13  	pt: 1.9555555555555555  	diff:  落后A0.37777777777777777 滞后A0.022222222222222223 向下A0.17777777777777778 退化A0.35555555555555557 后退A0.022222222222222223 落伍AB0.9777777777777777 倒退A0.022222222222222223
  	class: 增多  	d: 14  	pt: 1.955128205128205  	diff:  增加A0.9455128205128205 增多A0.022435897435897436 增A0.009615384615384616 搭AB0.9775641025641025
