learn:dsjwz.csv check:jqzx.csv 	 Result: 	0.17495377868796333 	5443 	2292
  	class: 抛弃  	d: 27  	pt: 1.231578947368421  	diff:  抛弃AB0.05087719298245613 摒弃AB0.1736842105263158 丢掉AB0.1736842105263158 抛开AB0.014035087719298248 丢AB0.04035087719298246 扔A0.13333333333333333 抛AB0.012280701754385961 撇开AB0.08070175438596491 丢弃B0.5263157894736842 摈弃B0.02631578947368421
  	class: 抵抗  	d: 11  	pt: 1.2307692307692308  	diff:  反抗A0.5 抵御AB0.11538461538461536 阻抗B0.6153846153846154
  	class: 恢复  	d: 18  	pt: 1.2188189169321244  	diff:  回复AB0.6094094584660623 还原AB0.022298456260720412 复原AB0.06248468512619455 恢复AB0.5057583925508453 回升B0.018867924528301886
  	class: 演变  	d: 4  	pt: 1.2142857142857144  	diff:  演变AB0.6071428571428572 演化AB0.6071428571428571
  	class: 无理  	d: 15  	pt: 1.2045454545454546  	diff:  不合理AB0.6022727272727273 主观AB0.6022727272727273
  	class: 星辰  	d: 8  	pt: 1.2000000000000002  	diff:  星辰A0.4 星AB0.4181818181818182 星体A0.2 星球B0.18181818181818182
  	class: 烦闷  	d: 31  	pt: 1.2000000000000002  	diff:  苦于A0.2 苦闷A0.2 心烦A0.2 堵AB0.04999999999999999 沉闷AB0.04999999999999999 烦恼B0.375 郁闷B0.125
  	class: 易于  	d: 6  	pt: 1.2000000000000002  	diff:  易于AB0.17142857142857143 爱AB0.6000000000000001 易B0.35714285714285715 轻B0.07142857142857142
  	class: 头领  	d: 15  	pt: 1.2  	diff:  领导人AB0.2666666666666666 当权者A0.2 带头人A0.4 头儿B0.3333333333333333
  	class: 会面  	d: 11  	pt: 1.2  	diff:  见面AB0.6 会面A0.6
